class,chem_comp_id_api
S-adenosylmethionine,76K
S-adenosylmethionine,76L
S-adenosylmethionine,76M
S-adenosylmethionine,AN6
S-adenosylmethionine,EEM
S-adenosylmethionine,K15
S-adenosylmethionine,P2J
S-adenosylmethionine,SA8
S-adenosylmethionine,SAH
S-adenosylmethionine,SAM
S-adenosylmethionine,SFG
S-adenosylmethionine,SMM
S-adenosylmethionine,SX0
S-adenosylmethionine,TT8
Thiamine_diphosphate,1TP
Thiamine_diphosphate,1U0
Thiamine_diphosphate,2TP
Thiamine_diphosphate,5GY
Thiamine_diphosphate,5SR
Thiamine_diphosphate,8EF
Thiamine_diphosphate,8EL
Thiamine_diphosphate,8EO
Thiamine_diphosphate,8FL
Thiamine_diphosphate,8ML
Thiamine_diphosphate,8N9
Thiamine_diphosphate,8PA
Thiamine_diphosphate,A5X
Thiamine_diphosphate,D7K
Thiamine_diphosphate,EN0
Thiamine_diphosphate,HTL
Thiamine_diphosphate,M6T
Thiamine_diphosphate,N1T
Thiamine_diphosphate,N3T
Thiamine_diphosphate,NDQ
Thiamine_diphosphate,O2T
Thiamine_diphosphate,QSP
Thiamine_diphosphate,R1T
Thiamine_diphosphate,S1T
Thiamine_diphosphate,T5X
Thiamine_diphosphate,T6F
Thiamine_diphosphate,TD5
Thiamine_diphosphate,TD6
Thiamine_diphosphate,TD7
Thiamine_diphosphate,TD8
Thiamine_diphosphate,TD9
Thiamine_diphosphate,TDK
Thiamine_diphosphate,TDL
Thiamine_diphosphate,TDM
Thiamine_diphosphate,TDN
Thiamine_diphosphate,TDP
Thiamine_diphosphate,TDW
Thiamine_diphosphate,THD
Thiamine_diphosphate,THV
Thiamine_diphosphate,THW
Thiamine_diphosphate,THY
Thiamine_diphosphate,TOG
Thiamine_diphosphate,TOI
Thiamine_diphosphate,TP8
Thiamine_diphosphate,TPP
Thiamine_diphosphate,TPU
Thiamine_diphosphate,TPW
Thiamine_diphosphate,TZD
Thiamine_diphosphate,WWF
Thiamine_diphosphate,ZP1
Pyridoxal_5'-phosphate,EM2
Pyridoxal_5'-phosphate,MPL
Pyridoxal_5'-phosphate,NOP
Pyridoxal_5'-phosphate,NPL
Pyridoxal_5'-phosphate,PDP
Pyridoxal_5'-phosphate,PLP
Pyridoxal_5'-phosphate,PLR
Pyridoxal_5'-phosphate,PMP
Pyridoxal_5'-phosphate,PXP
Pyridoxal_5'-phosphate,PZP
Pyridoxal_5'-phosphate,UAH
Pyridoxal_5'-phosphate,X04
Topaquinone,1TY
Topaquinone,2TY
Topaquinone,3TY
Topaquinone,4HL
Topaquinone,AGQ
Topaquinone,ESB
Topaquinone,G27
Topaquinone,HCC
Topaquinone,P2Q
Topaquinone,P3Q
Topaquinone,PAQ
Topaquinone,T0I
Topaquinone,TPQ
Topaquinone,TTS
Topaquinone,TYQ
Topaquinone,TYY
Topaquinone,YPZ
ATP_ligand,ATP
ATP_ligand,ADP
ATP_ligand,AMP
ATP_ligand,ANP
ATP_ligand,ACP
ATP_ligand,DTP
ATP_ligand,AGS
ATP_ligand,DAT
ATP_ligand,APC
ATP_ligand,A12
ATP_ligand,AN2
ATP_ligand,ADX
ATP_ligand,M33
Nicotinamide-adenine_dinucleotide,8NA
Flavin_adenine_dinucleotide,5X8
